Company Name,Security Code,Security Name,Ex Date,Record Date,BC Start,BC End,ND Start,ND End,Actual Payment,Purpose
Aditya Birla Sun Life AMC Ltd,543374,ABSLAMC,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 25.5000
Cosmo First Ltd,508814,COSMOFIRST,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 4.0000
Goodricke Group Ltd,500166,GOODRICKE,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 2.0000
Hawkins Cookers Ltd-$,508486,HAWKINCOOK,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Dividend - Rs. - 140.0000
HEG Ltd,509631,HEG,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 3.4000
Menon Bearings Ltd-$,523828,MENONBE,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Interim Dividend - Rs. - 2.0000
Ram Ratna Wires Ltd-$,522281,RAMRAT,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 2.5000
Sanco Trans Ltd,523116,SANCTRN,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 4.5000
Sarla Performance Fibers Ltd-$,526885,SARLAPOLY,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 2.0000
Sikozy Realtors Ltd,524642,SIKOZY,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Reduction of Capital 
Taparia Tools Ltd,505685,TAPARIA,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 35.0000
Thangamayil Jewellery Ltd,533158,THANGAMAYL,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 18.0000
Triveni Engineering & Industries Ltd,532356,TRIVENI,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Spin Off 
Wires & Fabriks SA Ltd,507817,WIREFABR,22 Jul 2026,22 Jul 2026,,,22 Jul 2026,22 Jul 2026,,Final Dividend - Rs. - 0.1000
ABM Knowledgeware Ltd,531161,ABMKNO,23 Jul 2026,23 Jul 2026,,,22 Jul 2026,23 Jul 2026,,Final Dividend - Rs. - 1.2500
