Security Code,Security Name,Name of Person,Category of person,Transaction Type,Mode of Acquisition,Type of Securities Acquired,Number of Securities Acquired,Value of Securities Acquired,Number of Securities held Prior,% of Securities held Prior,Number of Securities held Post,Post-Transaction % of Shareholding,From date,To date,Date of Intimation,Exchange on which
542772,360 ONE WAM LTD,Batlivala & Karani Resources Management Pvt. Ltd,Connected Person,Disposal,Market Sale,Equity,375000,419628750.00,4868018,1.20,4493018,1.10,20 Jul 2026,20 Jul 2026,21 Jul 2026,BSE
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Disposal,ESOS,Equity,10910,12823614.00,7799619,0.29,7788709,0.29,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
532281,HCL Technologies Ltd,Rahul Singh,Designated Person,Acquisition,ESOS,Equity,3579,4206757.00,153688,0.01,157267,0.01,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
532281,HCL Technologies Ltd,Gaurav Khosla,Designated Person,Acquisition,ESOS,Equity,984,1156594.00,0,0.00,984,0.00,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
540376,Avenue Supermarts Ltd,Rajeshkumar Jain,Designated Person,Disposal,Gift,Equity,25000,98797500.00,257301,0.04,232301,0.04,17 Jul 2026,17 Jul 2026,17 Jul 2026,NA
540376,Avenue Supermarts Ltd,Harish Parmanand Joshi,Designated Person,Invoke,Invocation of pledge,Equity,100,394632.00,19955,0.00,19855,0.00,17 Jul 2026,17 Jul 2026,17 Jul 2026,NSE
540376,Avenue Supermarts Ltd,Trevor Raymond Martis,Designated Person,Disposal,Market Sale,Equity,1000,3980000.00,46000,0.01,45000,0.01,20 Jul 2026,20 Jul 2026,20 Jul 2026,NSE
540376,Avenue Supermarts Ltd,Parag B Lokhande,Designated Person,,Pledge Creation,Equity,40000,158000000.00,132800,0.02,132800,0.02,16 Jul 2026,16 Jul 2026,20 Jul 2026,NA
540376,Avenue Supermarts Ltd,Elvin Elias Machado,Director,Disposal,Market Sale,Equity,8000,31732000.00,350000,0.05,342000,0.05,16 Jul 2026,17 Jul 2026,17 Jul 2026,NSE
540376,Avenue Supermarts Ltd,Sudipta Chatterjee,Designated Person,Disposal,Market Sale,Equity,12500,49522871.00,104475,0.02,91975,0.01,17 Jul 2026,17 Jul 2026,20 Jul 2026,NSE
540550,Yug Decor Ltd,Chandresh Saraswat HUF,Promoter Group,Acquisition,Market Purchase,Equity,20700,499077.00,890756,5.50,911456,5.63,21 Jul 2026,21 Jul 2026,21 Jul 2026,BSE
542772,360 ONE WAM LTD,MAYUR PATEL,Designated Person,Disposal,Market Sale,Equity,23000,25684225.00,73000,0.01,50000,0.01,20 Jul 2026,20 Jul 2026,21 Jul 2026,NSE
544506,Sharvaya Metals Ltd,SHREYANS RAVINDRA KATARIYA,Promoter,Acquisition,Market Purchase,Equity,13800,1405410.00,5491863,54.75,5505663,54.89,19 Jun 2026,19 Jun 2026,20 Jul 2026,BSE
542721,Anand Rayons Ltd,ANAND GOKULBHAI BAKSHI,Promoter,Acquisition,Conversion of security,Equity,219231,12825013.00,5718652,26.64,5937883,27.10,20 Jul 2026,20 Jul 2026,20 Jul 2026,NA
542721,Anand Rayons Ltd,SHILPA ANAND BAKSHI,Promoter Group,Acquisition,Conversion of security,Equity,109616,6412536.00,1278564,5.96,1388180,6.34,20 Jul 2026,20 Jul 2026,20 Jul 2026,NA
542721,Anand Rayons Ltd,MALAYA ANAND BAKSHI,Promoter Group,Acquisition,Conversion of security,Equity,109616,6412536.00,1390384,6.48,1500000,6.85,20 Jul 2026,20 Jul 2026,20 Jul 2026,NA
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Disposal,Market Sale,Any other instrument,32525000,2472241513.00,227250000,34.22,194725000,29.33,30 Jun 2026,30 Jun 2026,01 Jul 2026,BSE
542543,Energy Infrastructure Trust,Rapid Holdings 2 Pte. Ltd.,Promoter,Disposal,Market Sale,Any other instrument,7225000,549100000.00,194725000,29.33,187500000,28.24,30 Jun 2026,30 Jun 2026,01 Jul 2026,BSE
540718,Aayush Art And Bullion Ltd,EKLINGJI BROKING LLP,Other,Acquisition,Market Purchase,Equity,6250,7288084.00,49625,0.32,55875,0.36,17 Jul 2026,17 Jul 2026,20 Jul 2026,BSE
504341,Ravindra Energy Ltd,ABHAY WADHWA,Promoter Group,Disposal,Market Sale,Any other instrument,27777,1538742.00,27777,0.14,0,0.00,19 Jun 2026,19 Jun 2026,23 Jun 2026,BSE
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,9,5057.00,1036260,0.06,1036251,0.06,17 Jun 2026,17 Jun 2026,19 Jun 2026,NSE
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,78,44753.00,1036251,0.06,1036173,0.06,18 Jun 2026,18 Jun 2026,22 Jun 2026,NSE
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Disposal,Market Sale,Equity Shares,661,383973.00,1036173,0.06,1035512,0.06,22 Jun 2026,22 Jun 2026,22 Jun 2026,NSE
533148,JSW Energy Ltd,JSW Energy Employees ESOP Trust,Trust,Disposal,ESOP,Equity Shares,1000,51960.00,21000,0.06,20000,0.06,18 Jun 2026,18 Jun 2026,22 Jun 2026,NA
530445,Sumeru Industries Ltd,Pooja Raja,Promoters Immediate Relative,Acquisition,Off Market,Equity Shares,65000,104000.00,1214407,1.69,1279407,1.78,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
530445,Sumeru Industries Ltd,Pooja Raja,Promoters Immediate Relative,Acquisition,Off Market,Equity Shares,65000,104000.00,1214407,1.69,1279407,1.78,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
531553,Disha Resources Ltd,Mayadevi Krishnavtar Kabra,Promoter,Acquisition,Off Market,Equity Shares,244448,0.00,678000,9.27,922448,12.61,19 Jun 2026,19 Jun 2026,20 Jun 2026,BSE
531553,Disha Resources Ltd,Radhadevi Premnarayan Maheshwari,Promoters Immediate Relative,Disposal,Off Market,Equity Shares,244448,0.00,244448,3.34,0,0.00,19 Jun 2026,19 Jun 2026,20 Jun 2026,BSE
544759,Goldline Pharmaceutical Ltd,Swapan Khandelwal,Promoter & Director,Acquisition,Market Purchase,Equity Shares,60000,2595960.00,2749988,28.65,2809988,29.27,22 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
512441,Enbee Trade & Finance Ltd,BHARATHI NARENDRA GALA,Promoter Group,Disposal,Market Sale,Equity Shares,6900000,1740612.00,21581410,3.08,14681410,2.09,19 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
512441,Enbee Trade & Finance Ltd,MEYHUL GAALA,Promoter Group,Disposal,Market Sale,Equity Shares,6850000,2073689.00,28869300,4.13,22019300,3.15,19 Jun 2026,22 Jun 2026,23 Jun 2026,BSE
501423,Shaily Engineering Plastics Ltd,Purnendu Mallick,Designated Person,Pledge,Creation Of Pledge,Equity Shares,1500,4097100.00,1508,0.00,1508,0.00,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
501423,Shaily Engineering Plastics Ltd,Mitesh Patel,Designated Person,Pledge,Creation Of Pledge,Equity Shares,3500,9559900.00,8555,0.02,8555,0.02,19 Jun 2026,19 Jun 2026,22 Jun 2026,NA
544227,Unicommerce Esolutions Ltd,KAPIL MAKHIJA,KMP,Disposal,Market Sale,Equity Shares,40000,3583700.00,625240,0.55,585240,0.52,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Time Securities Services Private Limited,Promoter,Acquisition,Inter-se Transfer,Equity Shares,1000000,178024228.00,84692772,17.16,85692772,17.36,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Raghupathy Thyagarajan,Promoter & Director,Disposal,Inter-se Transfer,Equity Shares,400000,71352000.00,9077500,1.84,8677500,1.76,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Naveen Kumar Jain,Promoter & Director,Disposal,Inter-se Transfer,Equity Shares,200000,35304000.00,8997500,1.82,8797500,1.78,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
532856,Time Technoplast Ltd,Vishal Anil Jain,Promoter Group,Disposal,Inter-se Transfer,Equity Shares,400000,71316000.00,599880,0.12,199880,0.04,23 Jun 2026,23 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2000,1443534.00,3403366,18.32,3405366,18.33,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,1000,724494.00,3405366,18.33,3406366,18.34,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
539843,NINtec Systems Ltd,Niraj Chhaganraj Gemawat,Promoter & Director,Acquisition,Market Purchase,Equity Shares,2000,1508906.00,3406366,18.34,3408366,18.35,22 Jun 2026,22 Jun 2026,23 Jun 2026,NSE
