Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
543248,Restaurant Brands Asia Ltd,Lenexis Foodworks Private Limited,Promoter,Equity,297232943,41.76,Equity,118893177,8444982363.00,,-,297232943,41.76,14 Jul 2026,14 Jul 2026,16 Jul 2026,Pledge Creation,,,,,,,NA,16 Jul 2026
543769,Indong Tea Company Ltd,HARIRAM GARG,Promoter,Equity,2052173,10.57,Equity,418488,0.00,Acquisition,-,2470661,12.72,13 Jul 2026,13 Jul 2026,15 Jul 2026,Gift,,,,,,,BSE,16 Jul 2026
543769,Indong Tea Company Ltd,MADANLAL GARG,Promoter,Equity,422488,2.18,Equity,418488,0.00,Disposal,-,4000,0.02,13 Jul 2026,13 Jul 2026,15 Jul 2026,Gift,,,,,,,BSE,16 Jul 2026
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Equity,7823946,0.29,Equity,9209,10700858.00,Disposal,-,7814737,0.29,13 Jul 2026,13 Jul 2026,15 Jul 2026,ESOS,,,,,,,NA,16 Jul 2026
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Equity,7814737,0.29,Equity,8124,9748800.00,Disposal,-,7806613,0.29,14 Jul 2026,14 Jul 2026,15 Jul 2026,ESOS,,,,,,,NA,16 Jul 2026
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Equity,7806613,0.29,Equity,6994,8092058.00,Disposal,-,7799619,0.29,15 Jul 2026,15 Jul 2026,15 Jul 2026,ESOS,,,,,,,NA,16 Jul 2026
543372,Getalong Enterprise Ltd,SWEETY RAHUL JAIN,Promoter and Director,Equity,1015000,4.79,Equity,10000,74500.00,Disposal,-,1005000,4.74,16 Jul 2026,16 Jul 2026,16 Jul 2026,Market Sale,,,,,,,BSE,16 Jul 2026
507685,Wipro Ltd,Jayachandran Nair,Designated Person,Any other instrument,0,0.00,Any other instrument,1935,342582.00,Acquisition,-,1935,0.00,15 Jul 2026,15 Jul 2026,15 Jul 2026,ESOP,,,,,,,NA,16 Jul 2026
544201,Dindigul Farm Product Ltd,Indrayani Biotech Ltd,Promoter,Equity,7656820,31.34,Equity,100000,1615000.00,Disposal,-,7556820,30.93,06 Jul 2026,14 Jul 2026,14 Jul 2026,Off Market,,,,,,,NA,16 Jul 2026
540718,Aayush Art And Bullion Ltd,EKLINGJI BROKING LLP,Other,Equity,39125,0.26,Equity,4250,4938608.00,Acquisition,-,43375,0.28,14 Jul 2026,14 Jul 2026,15 Jul 2026,Market Purchase,,,,,,,BSE,16 Jul 2026
532832,Embassy Developments Ltd,Embassy Property Developments Private Limited,Promoter Group,Equity,193792592,13.94,Equity,10000000,647900000.00,Revoke,-,193792592,13.94,14 Jul 2026,14 Jul 2026,15 Jul 2026,,,,,,,,NA,16 Jul 2026
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity,1024552,0.06,Equity,3619,36190.00,Disposal,-,1020933,0.06,09 Jul 2026,09 Jul 2026,13 Jul 2026,ESOP,,,,,,,NA,15 Jul 2026
543920,CFF Fluid Control Ltd,Hitesh Birla,KMP,Equity,64800,0.31,Equity,200,179580.00,Acquisition,-,65000,0.31,15 Jul 2026,15 Jul 2026,15 Jul 2026,Market Purchase,,,,,,,BSE,15 Jul 2026
544221,Kizi Apparels Ltd,ABHISHEK  NATHANI,Promoter and Director,Equity,4482300,57.32,Equity,501000,7765500.00,Acquisition,-,4983300,49.23,14 Jul 2026,14 Jul 2026,15 Jul 2026,Preferential Offer,,,,,,,BSE,15 Jul 2026
544221,Kizi Apparels Ltd,KIRAN  NATHANI,Promoter and Director,Equity,4000,0.05,Equity,399000,6184500.00,Acquisition,-,403000,3.98,14 Jul 2026,14 Jul 2026,15 Jul 2026,Preferential Offer,,,,,,,BSE,15 Jul 2026
544221,Kizi Apparels Ltd,SUCHITRA DEVI NATHANI,Promoter Immediate Relative,Equity,500,0.01,Equity,300000,4650000.00,Acquisition,-,300500,2.97,14 Jul 2026,14 Jul 2026,15 Jul 2026,Preferential Offer,,,,,,,BSE,15 Jul 2026
544221,Kizi Apparels Ltd,RAJ KUMAR NATHANI,Promoter Immediate Relative,Equity,15500,0.20,Equity,300000,4650000.00,Acquisition,-,315500,3.12,14 Jul 2026,14 Jul 2026,15 Jul 2026,Preferential Offer,,,,,,,BSE,15 Jul 2026
542332,Hi-Klass Trading and Investment Ltd,Nicoindia Consultancy LLP,Promoter Group,Equity,6866720,22.72,Equity,2000000,50521646.00,Revoke,-,6866720,6.62,14 Jul 2026,14 Jul 2026,15 Jul 2026,,,,,,,,NA,15 Jul 2026
544560,Sodhani Capital Ltd,OASIS SECURITIES LIMITED,Promoter Group,Equity,0,0.00,Equity,46000,2923300.00,Acquisition,-,46000,0.58,14 Jul 2026,14 Jul 2026,14 Jul 2026,Market Purchase,,,,,,,BSE,15 Jul 2026
532927,eClerx Services Ltd,Eclerx Employee Welfare,Trust,Equity,2080743,2.21,Equity,1497,1072825.00,Disposal,-,2079246,2.21,11 Jul 2026,11 Jul 2026,13 Jul 2026,Off Market,,,,,,,NA,14 Jul 2026
